,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant
92,92,26,117,132,existing,414.5932483118278,92,26,117,121,existing,827.7928966160342,92,26,117,116,allocated,84.02840928715672,92,28,117,131,existing,245.09507640330523,92,27,117,131,existing,245.09507640330523
93,93,26,118,132,existing,736.8178702324275,93,26,118,121,existing,537.4256175067832,93,26,118,9,allocated,239.29274352024362,93,28,118,131,existing,599.234661484374,93,27,118,131,existing,599.234661484374
94,94,26,119,132,existing,781.063684796277,94,26,119,121,existing,493.17980294293363,94,26,119,9,allocated,283.5385580840931,94,28,119,131,existing,643.4804760482235,94,27,119,131,existing,643.4804760482235
95,95,26,120,132,existing,1133.0594028678343,95,26,120,121,existing,109.32674206002777,95,26,120,121,allocated,109.32674206002777,95,28,120,131,existing,963.5612309593117,95,27,120,131,existing,963.5612309593117
96,96,26,121,132,existing,1242.386144927862,96,26,121,121,existing,0.0,96,26,121,121,allocated,0.0,96,28,121,131,existing,1072.8879730193394,96,27,121,131,existing,1072.8879730193394
97,97,26,122,132,existing,678.7601161833716,97,26,122,121,existing,635.4179856494366,97,26,122,9,allocated,136.28512923146235,97,28,122,131,existing,541.1769074353181,97,27,122,131,existing,541.1769074353181
98,98,26,123,132,existing,656.285186063509,98,26,123,121,existing,617.9583016757017,98,26,123,9,allocated,158.760059351325,98,28,123,131,existing,518.7019773154555,98,27,123,131,existing,518.7019773154555
99,99,26,124,132,existing,2094.886246124246,99,26,124,121,existing,1270.8050813772838,99,26,124,93,allocated,604.8192925378056,99,28,124,131,existing,1925.388074215724,99,27,124,131,existing,1925.388074215724
100,100,26,125,132,existing,2108.49887299955,100,26,125,121,existing,1186.189524300165,100,26,125,93,allocated,689.4348496149247,100,28,125,131,existing,1939.0007010910272,100,27,125,131,existing,1939.0007010910272
101,101,26,126,132,existing,1987.3710449141208,101,26,126,121,existing,1065.0616962147362,101,26,126,93,allocated,780.4394022379788,101,28,126,131,existing,1817.8728730055982,101,27,126,131,existing,1817.8728730055982
102,102,26,127,132,existing,1541.985782419165,102,26,127,121,existing,810.7221815355778,102,26,127,189,allocated,239.2672906645305,102,28,127,131,existing,1372.4876105106423,102,27,127,131,existing,1372.4876105106423
103,103,26,128,132,existing,1345.6711092869805,103,26,128,121,existing,620.6320826864319,103,26,128,189,allocated,42.95261753234608,103,28,128,131,existing,1176.172937378458,103,27,128,131,existing,1176.172937378458
104,104,26,129,132,existing,1431.7361327234025,104,26,129,121,existing,189.3499877955403,104,26,129,121,allocated,189.3499877955403,104,28,129,131,existing,1262.23796081488,104,27,129,131,existing,1262.23796081488
105,105,26,130,132,existing,1477.5530307538554,105,26,130,121,existing,1419.761206951233,105,26,130,114,allocated,55.39413023101611,105,28,130,131,existing,1308.054858845333,105,27,130,131,existing,1308.054858845333
106,106,26,133,132,existing,715.1743934260926,106,26,133,121,existing,599.0037084067155,106,26,133,9,allocated,99.87085198874128,106,28,133,131,existing,577.5911846780391,106,27,133,131,existing,577.5911846780391
107,107,26,134,132,existing,1380.701506789771,107,26,134,121,existing,138.31536186190874,107,26,134,121,allocated,138.31536186190874,107,28,134,131,existing,1211.2033348812483,107,27,134,131,existing,1211.2033348812483
108,108,26,135,132,existing,246.6214641527186,108,26,135,121,existing,1059.5369867469612,108,26,135,74,allocated,91.60587649836793,108,28,135,131,existing,77.12329224419601,108,27,135,131,existing,77.12329224419601
109,109,26,136,132,existing,1482.9018840467302,109,26,136,121,existing,710.1288549635888,109,26,136,189,allocated,339.86061723651954,109,28,136,131,existing,1313.4037121382078,109,27,136,131,existing,1313.4037121382078
110,110,26,137,132,existing,1505.4570827899884,110,26,137,121,existing,507.4466385381239,110,26,137,196,allocated,98.64398268613292,110,28,137,131,existing,1335.9589108814657,110,27,137,131,existing,1335.9589108814657
111,111,26,138,132,existing,1553.6903770252168,111,26,138,121,existing,555.6799327733523,111,26,138,196,allocated,50.41068845090444,111,28,138,131,existing,1384.1922051166941,111,27,138,131,existing,1384.1922051166941
112,112,26,139,132,existing,2076.8044637284283,112,26,139,121,existing,1293.5501633900608,112,26,139,93,allocated,586.7375101419873,112,28,139,131,existing,1907.3062918199057,112,27,139,131,existing,1907.3062918199057
113,113,26,140,132,existing,1808.5135775081726,113,26,140,121,existing,845.6184852388235,113,26,140,196,allocated,590.469480026362,113,28,140,131,existing,1639.01540559965,113,27,140,131,existing,1639.01540559965
114,114,26,141,132,existing,2055.0262654042263,114,26,141,73,existing,716.2601722447171,114,26,141,20,allocated,267.53044164678505,114,28,141,131,existing,1885.5280934957036,114,27,141,131,existing,1885.5280934957036
115,115,26,142,132,existing,1578.4774480408482,115,26,142,121,existing,580.4670037889839,115,26,142,196,allocated,171.66434793699287,115,28,142,131,existing,1408.9792761323256,115,27,142,131,existing,1408.9792761323256
116,116,26,143,132,existing,73.28447503647244,116,26,143,121,existing,1200.9590127027382,116,26,143,132,allocated,73.28447503647244,116,28,143,131,existing,242.782646944995,116,27,143,131,existing,242.782646944995
117,117,26,144,132,existing,1702.3967720509195,117,26,144,121,existing,739.5016797815701,117,26,144,196,allocated,484.3526745691088,117,28,144,131,existing,1532.8986001423968,117,27,144,131,existing,1532.8986001423968
118,118,26,145,132,existing,1977.9554974041816,118,26,145,121,existing,1015.0604051348322,118,26,145,196,allocated,759.9113999223707,118,28,145,131,existing,1808.457325495659,118,27,145,131,existing,1808.457325495659
119,119,26,146,132,existing,1892.3826977610568,119,26,146,121,existing,929.4876054917074,119,26,146,196,allocated,674.3386002792461,119,28,146,131,existing,1722.8845258525344,119,27,146,131,existing,1722.8845258525344
120,120,26,147,132,existing,1845.1541760187345,120,26,147,121,existing,882.2590837493851,120,26,147,196,allocated,627.1100785369237,120,28,147,131,existing,1675.656004110212,120,27,147,131,existing,1675.656004110212
121,121,26,148,132,existing,1646.7763173122612,121,26,148,121,existing,915.5127164286739,121,26,148,189,allocated,344.0578255576267,121,28,148,131,existing,1477.2781454037386,121,27,148,131,existing,1477.2781454037386
122,122,26,150,132,existing,296.8095057873195,122,26,150,121,existing,977.4339819518912,122,26,150,151,allocated,274.0462949110111,122,28,150,131,existing,417.2423063798089,122,27,150,131,existing,417.2423063798089
123,123,26,151,132,existing,570.8558006983305,123,26,151,73,existing,1058.649009891889,123,26,151,151,allocated,0.0,123,28,151,131,existing,691.28860129082,123,27,151,131,existing,691.28860129082
124,124,26,152,132,existing,1755.9685104041769,124,26,152,73,existing,267.5597890090435,124,26,152,20,allocated,181.16994158888846,124,28,152,131,existing,1586.4703384956542,124,27,152,131,existing,1586.4703384956542
125,125,26,153,132,existing,1293.658456401848,125,26,153,121,existing,269.9257955940414,125,26,153,121,allocated,269.9257955940414,125,28,153,131,existing,1124.1602844933254,125,27,153,131,existing,1124.1602844933254
126,126,26,154,132,existing,1747.8651402921987,126,26,154,121,existing,1006.0582767303396,126,26,154,93,allocated,351.596024652557,126,28,154,131,existing,1578.366968383676,126,27,154,131,existing,1578.366968383676
127,127,26,155,132,existing,1504.6401119793504,127,26,155,73,existing,165.19920483740484,127,26,155,54,allocated,80.69143181542597,127,28,155,131,existing,1625.0729125718399,127,27,155,131,existing,1625.0729125718399
128,128,26,156,132,existing,1838.3978313577295,128,26,156,73,existing,347.15446537006585,128,26,156,20,allocated,108.22082446702947,128,28,156,131,existing,1696.5971078514879,128,27,156,131,existing,1696.5971078514879
