,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant
65,65,10,127,47,allocated,514.9407927707092,65,10,127,81,allocated,588.4130033109811,65,10,127,62,allocated,234.32747522345508,65,17,127,81,allocated,588.4130033109811,65,17,127,81,allocated,588.4130033109811,65,16,127,74,allocated,1053.0090963473035,65,40,127,74,existing,1053.0090963473035
66,66,10,128,47,allocated,363.0187098760324,66,10,128,81,allocated,436.49092041630445,66,10,128,47,allocated,363.0187098760324,66,17,128,81,allocated,436.49092041630445,66,17,128,81,allocated,436.49092041630445,66,16,128,74,allocated,901.0870134526268,66,40,128,74,existing,901.0870134526268
67,67,10,129,47,allocated,230.81310764557162,67,10,129,81,allocated,304.28531818584366,67,10,129,47,allocated,230.81310764557162,67,17,129,81,allocated,304.28531818584366,67,17,129,81,allocated,304.28531818584366,67,16,129,74,allocated,768.8814112221661,67,40,129,74,existing,768.8814112221661
68,68,10,130,47,allocated,461.87066639937217,68,10,130,81,allocated,535.3428769396442,68,10,130,62,allocated,287.3976015947921,68,17,130,81,allocated,535.3428769396442,68,17,130,81,allocated,535.3428769396442,68,16,130,74,allocated,999.9389699759666,68,40,130,74,existing,999.9389699759666
69,69,37,131,45,existing,79.85052999395734,69,37,131,68,existing,282.60299664023864,69,37,131,74,allocated,42.90573702221553,69,40,131,74,existing,42.90573702221553,69,16,131,74,allocated,42.90573702221553,69,17,131,81,allocated,643.4184858688807,69,17,131,81,allocated,643.4184858688807
70,70,10,134,47,allocated,117.19417017622091,70,10,134,81,allocated,190.66638071649294,70,10,134,47,allocated,117.19417017622091,70,17,134,81,allocated,190.66638071649294,70,17,134,81,allocated,190.66638071649294,70,16,134,74,allocated,655.2624737528154,70,40,134,74,existing,655.2624737528154
71,71,21,135,96,allocated,504.1608100312175,71,21,135,18,allocated,334.1569159897859,71,21,135,18,allocated,334.1569159897859,71,16,135,74,allocated,814.5139186415464,71,40,135,74,existing,814.5139186415464,71,17,135,81,allocated,897.2229916761107,71,17,135,81,allocated,897.2229916761107
72,72,0,136,2,allocated,145.88970340241264,72,0,136,4,existing,619.5330668381797,72,0,136,2,allocated,145.88970340241264,72,16,136,74,allocated,726.6535516061331,72,40,136,74,existing,726.6535516061331,72,17,136,81,allocated,773.8040464486398,72,17,136,81,allocated,773.8040464486398
73,73,37,139,45,existing,335.12829237894135,73,37,139,68,existing,431.19000075670345,73,37,139,74,existing,298.1834994071996,73,40,139,74,existing,298.1834994071996,73,16,139,74,allocated,298.1834994071996,73,17,139,81,allocated,717.3544377606536,73,17,139,81,allocated,717.3544377606536
74,74,38,140,73,existing,549.164612277341,74,38,140,18,allocated,385.3551445655006,74,38,140,18,allocated,385.3551445655006,74,16,140,74,allocated,552.0314142022968,74,40,140,74,existing,552.0314142022968,74,17,140,81,allocated,976.0217059970919,74,17,140,81,allocated,976.0217059970919
75,75,36,141,92,existing,195.54731839694938,75,36,141,92,allocated,195.54731839694938,75,36,141,141,allocated,0.0,75,40,141,74,existing,756.6576435649603,75,16,141,74,allocated,756.6576435649603,75,17,141,81,allocated,1348.0435213392452,75,17,141,81,allocated,1348.0435213392452
76,76,10,142,47,allocated,135.22971115408444,76,10,142,81,allocated,208.70192169435649,76,10,142,142,allocated,0.0,76,17,142,81,allocated,208.70192169435649,76,17,142,81,allocated,208.70192169435649,76,16,142,74,allocated,727.0329643315811,76,40,142,74,existing,727.0329643315811
77,77,37,147,45,existing,256.9608725779475,77,37,147,68,existing,353.0225809557096,77,37,147,74,existing,220.01607960620572,77,16,147,74,allocated,220.01607960620572,77,40,147,74,existing,220.01607960620572,77,17,147,81,allocated,641.8504917256431,77,17,147,81,allocated,641.8504917256431
78,78,0,148,2,allocated,336.6728453709628,78,0,148,4,existing,628.259723268353,78,0,148,2,allocated,336.6728453709628,78,16,148,74,allocated,730.8908279331542,78,40,148,74,existing,730.8908279331542,78,17,148,81,allocated,782.5307028788131,78,17,148,81,allocated,782.5307028788131
79,79,21,149,96,allocated,176.114978224122,79,21,149,18,allocated,100.3510688081571,79,21,149,18,allocated,100.3510688081571,79,16,149,74,allocated,931.2754745851071,79,40,149,74,existing,931.2754745851071,79,17,149,81,allocated,1225.2688234832062,79,17,149,81,allocated,1225.2688234832062
80,80,38,151,73,existing,459.0065443597939,80,38,151,18,allocated,475.5132124830477,80,38,151,74,existing,461.8733462847497,80,40,151,74,existing,461.8733462847497,80,16,151,74,allocated,461.8733462847497,80,17,151,81,allocated,955.6953368628955,80,17,151,81,allocated,955.6953368628955
