,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant
88,88,79,113,256,existing,324.1441584478665,88,79,113,311,existing,368.6384809605398,88,79,113,251,allocated,248.49907890821834,88,82,113,419,existing,608.6457810310955,88,81,113,27,existing,1743.35202130657
89,89,78,115,419,existing,323.62735958339084,89,78,115,311,existing,448.159503300172,89,78,115,7,allocated,80.79168258539671,89,82,115,419,existing,323.62735958339084,89,81,115,27,existing,1800.7703134325825
90,90,78,116,419,existing,962.8727336043886,90,78,116,189,existing,418.8901286744817,90,78,116,153,allocated,214.45531358265313,90,82,116,419,existing,962.8727336043886,90,81,116,27,existing,2409.740193974687
91,91,80,117,284,existing,503.91441754134195,91,80,117,10,existing,430.79383990722783,91,80,117,204,allocated,91.57109598923553,91,82,117,419,existing,845.4035084458118,91,81,117,27,existing,1620.7483766340824
92,92,80,118,284,existing,482.8830368733908,92,80,118,10,existing,503.1224795590326,92,80,118,204,allocated,70.5397153212844,92,82,118,419,existing,824.3721277778607,92,81,118,27,existing,1599.7169959661312
93,93,78,120,419,existing,812.2499307904861,93,78,120,189,existing,442.5816923879373,93,78,120,153,allocated,404.90439874648854,93,82,120,419,existing,812.2499307904861,93,81,120,27,existing,2260.481645848779
94,94,78,121,419,existing,855.1624459729561,94,78,121,189,existing,485.4942075704073,94,78,121,153,allocated,447.8169139289585,94,82,121,419,existing,855.1624459729561,94,81,121,27,existing,2303.394161031249
95,95,78,123,419,existing,236.81405590745896,95,78,123,277,existing,776.9228942242754,95,78,123,187,allocated,147.8527592331426,95,82,123,419,existing,236.81405590745896,95,81,123,27,existing,1579.4626783723245
96,96,74,124,252,existing,323.8485042186917,96,74,124,157,existing,507.888227515903,96,74,124,68,allocated,186.7720736591574,96,82,124,419,existing,1698.5750448949486,96,81,124,27,existing,1826.503292758214
97,97,76,126,106,existing,395.295455369194,97,76,126,10,existing,849.6405185707192,97,76,126,149,existing,289.816979945915,97,82,126,419,existing,1717.263648752975,97,81,126,27,existing,2492.6085169412454
98,98,76,127,106,existing,639.1871430020389,98,76,127,10,existing,853.320145910373,98,76,127,260,allocated,251.09828699471046,98,82,127,419,existing,1913.672548270573,98,81,127,27,existing,2689.017416458844
99,99,76,128,106,existing,975.6736063800491,99,76,128,10,existing,692.658327828695,99,76,128,91,allocated,448.4586481906989,99,82,128,419,existing,1753.0107301888952,99,81,128,27,existing,2528.3555983771657
