,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant
44,44,37,145,131,existing,141.93887597870892,44,37,145,0,allocated,208.2170705596451,44,37,145,147,allocated,194.25188867280514,44,40,145,94,existing,485.5984079306229,44,4,145,35,allocated,492.8618375263508,44,39,145,68,existing,692.1139543674785,44,11,145,66,allocated,706.1051260971046,44,38,145,90,existing,858.962442396908,44,10,145,62,allocated,1041.7117213462348
45,45,25,149,162,allocated,123.25103222103597,45,25,149,0,allocated,462.29444643844175,45,25,149,149,allocated,0.0,45,38,149,90,existing,189.54271798486056,45,39,149,68,existing,289.9680483055388,45,11,149,66,allocated,516.6997560783764,45,40,149,94,existing,502.63515866288134,45,10,149,62,allocated,703.374385980296,45,4,149,35,allocated,900.5457020509999
46,46,1,151,3,allocated,126.44781341777194,46,1,151,153,allocated,65.45238494984633,46,1,151,35,allocated,48.118183015338985,46,4,151,35,allocated,48.118183015338985,46,40,151,94,existing,446.02872640345754,46,11,151,66,allocated,505.9592491193158,46,10,151,62,allocated,602.2025637533966,46,38,151,90,existing,999.4485604797287,46,39,151,68,existing,659.3167660277129
47,47,1,153,3,allocated,191.52476867907353,47,1,153,153,allocated,0.0,47,1,153,153,allocated,0.0,47,4,153,35,allocated,17.334201934507355,47,40,153,94,existing,380.57634145361124,47,11,153,66,allocated,440.5068641694695,47,10,153,62,allocated,536.7501788035503,47,38,153,90,existing,933.9961755298824,47,39,153,68,existing,593.8643810778666
48,48,34,154,77,existing,17.916314340722916,48,34,154,153,allocated,221.80158693729842,48,34,154,77,existing,17.916314340722916,48,40,154,94,existing,197.27669862666718,48,4,154,35,allocated,239.13578887180577,48,11,154,66,allocated,424.2346865888863,48,39,154,68,existing,410.30444626247765,48,10,154,62,allocated,752.7550335654954,48,38,154,90,existing,715.9128091941656
49,49,31,156,134,existing,17.992065779791385,49,31,156,66,existing,253.67271181554133,49,31,156,185,allocated,93.72627130223363,49,10,156,62,allocated,127.03103113371252,49,11,156,66,allocated,253.67271181554133,49,4,156,35,allocated,458.45840153262327,49,39,156,68,existing,286.3753065410447,49,38,156,90,existing,595.5250924629293,49,40,156,94,existing,480.63069977776047
50,50,32,159,72,existing,95.02554416879218,50,32,159,56,allocated,132.31167415175275,50,32,159,56,allocated,132.31167415175275,50,10,159,62,allocated,247.64792037442564,50,11,159,66,allocated,413.93216036571926,50,38,159,90,existing,471.42170532317874,50,39,159,68,existing,446.63475509122264,50,4,159,35,allocated,587.3127981545231,50,40,159,94,existing,640.8901483279383
51,51,1,160,3,allocated,193.44386814789488,51,1,160,153,allocated,132.44843967996928,51,1,160,160,allocated,0.0,51,4,160,35,allocated,115.11423774546192,51,40,160,94,existing,513.0247811335805,51,10,160,62,allocated,669.1986184835196,51,11,160,66,allocated,572.9553038494388,51,39,160,68,existing,726.3128207578359,51,38,160,90,existing,1066.4446152098517
52,52,1,161,3,allocated,222.2399806838688,52,1,161,153,allocated,161.2445522159432,52,1,161,160,allocated,28.796112535973908,52,4,161,35,allocated,143.91035028143583,52,40,161,94,existing,541.8208936695544,52,10,161,62,allocated,697.9947310194934,52,11,161,66,allocated,601.7514163854127,52,38,161,90,existing,1095.2407277458256,52,39,161,68,existing,755.1089332938097
53,53,25,162,162,allocated,0.0,53,25,162,0,allocated,354.18763446210465,53,25,162,162,allocated,0.0,53,39,162,68,existing,166.7170160845028,53,38,162,90,existing,297.71352107762834,53,11,162,66,allocated,393.4487238573404,53,40,162,94,existing,379.38412644184535,53,10,162,62,allocated,580.12335375926,53,4,162,35,allocated,777.2946698299639
54,54,34,183,77,existing,146.80011428249492,54,34,183,153,allocated,350.04945334120066,54,34,183,183,allocated,0.0,54,40,183,94,existing,326.16049856843915,54,4,183,35,allocated,332.71525140669337,54,11,183,66,allocated,553.1184865306583,54,39,183,68,existing,539.1882462042497,54,10,183,62,allocated,881.5651352265774,54,38,183,90,existing,844.7966091359376
55,55,31,185,134,existing,75.73420552244224,55,31,185,56,allocated,324.8853514416173,55,31,185,185,allocated,0.0,55,10,185,62,allocated,140.86366126499118,55,11,185,66,allocated,347.39898311777495,55,4,185,35,allocated,520.7796209065788,55,39,185,68,existing,380.10157784327833,55,38,185,90,existing,689.2513637651629,55,40,185,94,existing,574.3569710799941
